Year,Real GDP,GDP Growth Rate,Population,Population Growth Rate,Exchange Rates,Exchange Rates Growth Rate,Real GDP per capita,Real GDP per capita growth rate,GDP deflator,GDP deflator growth rates,CPI,CPI Growth Rate,Real GDP Growth Rate
1970,0.0,0.6776379477250726,0.0,0.5799481641834452,0.6775938268363655,0.3640207453316159,0.05815925443210365,0.6582403965303595,0.0022781235962266565,,0.0,0.07570741951393124,0.675965006522907
1971,0.007049891540130138,0.7744433688286544,0.04787868931088779,0.9887469139163965,0.6656802576780254,0.3479741035827389,0.062320619676697914,0.696654275092937,0.0023743823397291922,0.014528462192013595,0.0,0.06930189662730869,0.7688806787375551
1972,0.014642082429501102,0.7746853823814133,0.09826401044552435,1.0,0.6537666885196898,0.3478004028522903,0.06640106470346183,0.6951672862453533,0.002181864852724121,0.005607476635514018,0.0,0.06865645788850966,0.7723114112500962
1973,0.02277657266811281,0.7749273959341723,0.12779319919912746,0.8201630848462846,0.6418531193613495,0.3476229004389879,0.07350310509814592,0.7216852540272616,0.001989347365719053,0.005607476635514018,0.0,0.06786637155260668,0.7752229784259176
1974,0.030911062906724518,0.7737173281703775,0.17578766402680124,0.9649094400483312,0.6299395502030138,0.34744147015424875,0.07821541650669142,0.699380421313507,0.001796829878713985,0.005734919286321155,0.0,0.06687687654322089,0.7712945626513922
1975,0.039587852494577,0.7756534365924491,0.22465595835021723,0.9631984338144783,0.6180259810446738,0.3472559801622171,0.0832686258541818,0.7016109045848824,0.0016043123917089137,0.0054800339847068825,0.0,0.06560157760573566,0.7737786153829972
1976,0.048806941431670275,0.7751694094869312,0.27401308263339663,0.9584582679527569,0.6061124118863381,0.34706629266037886,0.08842513760741297,0.7016109045848824,0.0014117949047038458,0.005649957519116397,0.0,0.06389574661057809,0.7758362797157249
1977,0.057483731019522755,0.7703291384317521,0.32383698439695197,0.9536770768454637,0.5941988427279978,0.346872263538045,0.09316843973768077,0.697645600991326,0.0012834499133671327,0.006032285471537808,0.0,0.06149709285263932,0.7662192498270655
1978,0.06778741865509763,0.781703775411423,0.37375644690452114,0.9463015875212897,0.5822852735696622,0.3466737420113163,0.0995249811042683,0.7100371747211898,0.001026759930693703,0.0048003398470688186,0.0,0.05787597481166186,0.7792709709595095
1979,0.07754880694143168,0.7734753146176185,0.4236529380793943,0.9383721092405708,0.5703717044113221,0.3464705702321899,0.10512052808189817,0.7028500619578688,0.0008984149393569899,0.006159728122344945,0.0,0.05177827965582227,0.7698089072312079
1980,0.08622559652928419,0.7558083252662149,0.4730256828688071,0.9272525007367785,0.5584581352529865,0.3462625828700801,0.1087688247113128,0.686741016109046,0.0007700699480202768,0.00717926932880204,0.0,0.039342987798049685,0.7562536771288979
1981,0.10140997830802606,0.8167957405614714,0.5215962687204874,0.9147376363987807,0.5465445660946462,0.3460496066630139,0.12057284627396833,0.7496902106567536,0.00038503497401013755,0.0011894647408666088,0.0001207237831298137,0.0,0.8119377551298271
1982,0.11008676789587857,0.7490319457889641,0.5728912546298721,0.9266560912582462,0.5346309969363106,0.34583145993635334,0.12349458264967225,0.6800495662949196,0.00038503497401013755,0.010195412064570943,0.018585816897051362,0.9999999999999999,0.749511880360456
1983,0.11334056399132325,0.7042594385285575,0.6254662031970581,0.9281717879902862,0.5227174277779705,0.34560795208581796,0.12037140658277365,0.635192069392813,0.00038503497401013755,0.010195412064570943,0.03705091001097872,0.14075838492989506,0.7027278967249038
1984,0.10954446854663774,0.6473862536302033,0.6793872718602092,0.9298854831556704,0.5108038586196348,0.34537888302213704,0.10960040907752674,0.5776951672862455,0.00038503497401013755,0.010152931180968564,0.055516003124900265,0.10941920639035438,0.6450847485975258
1985,0.11496746203904556,0.7207163601161665,0.7351607487919374,0.934572703861645,0.4988902894612946,0.3451440425735035,0.10861042768917686,0.650557620817844,0.0004492074696784958,0.011767204757858963,0.07398109623882762,0.09845854522261388,0.720652578288765
1986,0.13123644251626898,0.814133591481123,0.7891351109469427,0.9160880292487745,0.48697672030295885,0.3449032098425116,0.12004428229792755,0.7469640644361836,6.417249566835655e-05,0.0,0.09244618935274918,0.0928764159461651,0.8075857780081379
1987,0.1290672451193059,0.6585188770571152,0.8441588035794849,0.915947680612609,0.4750631511446232,0.34465615251301157,0.11104664275789874,0.590830235439901,6.417249566835655e-05,0.010280373831775701,0.11091128246667072,0.08949383397025681,0.6593248675372094
1988,0.12472885032537961,0.643272023233301,0.900688496783554,0.9184223076778744,0.46314958198628303,0.34440262610269523,0.10025326306474133,0.5752168525402728,6.417249566835655e-05,0.010280373831775701,0.12937637558059806,0.0872247295673649,0.6424532135743195
